"","field","date","total_precip","max_temp_5","min_temp_5","max_temp_10","min_temp_10","avg_moist","max_moist","avg_moist_10cm","max_moist_10cm","plot","treatment","compound","concentration","lys_num","month"
"1","1",2018-01-02,0,6.69999980926514,4.69999980926514,6.69999980926514,4,0.452257007883306,0.45427006483078,0.464592436426564,0.470695227384567,NA,NA,NA,NA,NA,NA
"2","1",2018-01-03,0,5.09999990463257,4.09999990463257,5,3.40000009536743,0.453206664158238,0.454665124416351,0.464745968787207,0.466587036848068,NA,NA,NA,NA,NA,NA
"3","1",2018-01-04,1.20000001788139,5.69999980926514,4.40000009536743,5.90000009536743,3.79999995231628,0.450702455101742,0.452479273080826,0.462554652864734,0.464760929346085,NA,NA,NA,NA,NA,NA
"4","1",2018-01-05,7.20000013709068,7.09999990463257,5.5,7.5,5.19999980926514,0.441745183120171,0.472268491983414,0.422568617181646,0.455059140920639,NA,NA,NA,NA,NA,NA
"5","1",2018-01-06,2.80000004172325,7.09999990463257,5.90000009536743,7.19999980926514,5,0.444967954316073,0.471571624279022,0.411587110617095,0.44298791885376,NA,NA,NA,NA,NA,NA
"6","1",2018-01-07,0,6.69999980926514,5.5,6.90000009536743,4.90000009536743,0.466691454665528,0.469812899827957,0.442658332073026,0.444047510623932,NA,NA,NA,NA,NA,NA
"7","1",2018-01-08,0.600000008940697,6.80000019073486,5.69999980926514,6.90000009536743,5.30000019073486,0.454605309913556,0.464023619890213,0.442092692272531,0.444258600473404,NA,NA,NA,NA,NA,NA
"8","1",2018-01-09,13.2000002413988,7.19999980926514,6.59999990463257,7.40000009536743,6.19999980926514,0.459810675639245,0.492981165647507,0.426991276649965,0.472268491983414,NA,NA,NA,NA,NA,NA
"9","1",2018-01-10,2.00000002980232,7.5,6.40000009536743,7.80000019073486,6,0.477402571588755,0.48497474193573,0.443051378967034,0.448422908782959,NA,NA,NA,NA,NA,NA
"10","1",2018-01-11,17.6000002771616,8.80000019073486,7.5,9.19999980926514,7.59999990463257,0.460060502505965,0.478374034166336,0.42325949192875,0.447805196046829,NA,NA,NA,NA,NA,NA
"11","1",2018-01-12,0.200000002980232,9.39999961853027,8.5,10,8.30000019073486,0.471626669789354,0.481317102909088,0.440326219838526,0.448422908782959,NA,NA,NA,NA,NA,NA
"12","1",2018-01-13,0,9,7.19999980926514,8.69999980926514,6.30000019073486,0.463697649745478,0.466949313879013,0.450264238648944,0.453873932361603,NA,NA,NA,NA,NA,NA
"13","1",2018-01-14,0,7.90000009536743,6.59999990463257,8,5.90000009536743,0.453822385933664,0.462723791599274,0.445517009538081,0.452679306268692,NA,NA,NA,NA,NA,NA
"14","1",2018-01-15,4.20000006258488,7.40000009536743,5.90000009536743,7.5,5,0.448053542731537,0.454467713832855,0.441447014403012,0.450261503458023,NA,NA,NA,NA,NA,NA
"15","1",2018-01-16,0,8.60000038146973,7.30000019073486,9.10000038146973,6.80000019073486,0.452287979217039,0.458366483449936,0.435242324446638,0.446146041154861,NA,NA,NA,NA,NA,NA
"16","1",2018-01-17,11.8000002354383,9,7.09999990463257,9.39999961853027,6.59999990463257,0.453367855813768,0.464576959609985,0.43980047148135,0.445519357919693,NA,NA,NA,NA,NA,NA
"17","1",2018-01-18,9.80000016093254,9,7.59999990463257,9.19999980926514,7,0.460486230750879,0.471046477556229,0.419376488568054,0.443836152553558,NA,NA,NA,NA,NA,NA
"18","1",2018-01-19,2.00000002980232,7.59999990463257,6.90000009536743,7.59999990463257,6.30000019073486,0.459162414073944,0.470695227384567,0.421908520369066,0.435597240924835,NA,NA,NA,NA,NA,NA
"19","1",2018-01-20,0.400000005960464,7.40000009536743,6.40000009536743,7.59999990463257,5.69999980926514,0.44992114789784,0.454467713832855,0.429693822852439,0.439550548791885,NA,NA,NA,NA,NA,NA
"20","1",2018-01-21,4.80000007152557,7.59999990463257,6.80000019073486,7.69999980926514,6.40000009536743,0.442902973542611,0.45227900147438,0.422309600851602,0.439767479896545,NA,NA,NA,NA,NA,NA
